kabupaten,presentase,tahun
3301 Kabupaten Cilacap,7.83,2024
3302 Kabupaten Banyumas,6.18,2024
3303 Kabupaten Purbalingga,4.96,2024
3304 Kabupaten Banjarnegara,5.57,2024
3305 Kabupaten Kebumen,5.07,2024
3306 Kabupaten Purworejo,3.89,2024
3307 Kabupaten Wonosobo,4.02,2024
3308 Kabupaten Magelang,3.55,2024
3309 Kabupaten Boyolali,3.16,2024
3310 Kabupaten Klaten,3.97,2024
3311 Kabupaten Sukoharjo,3.65,2024
3312 Kabupaten Wonogiri,2.4,2024
3313 Kabupaten Karanganyar,3.47,2024
3314 Kabupaten Sragen,3.53,2024
3315 Kabupaten Grobogan,3.23,2024
3316 Kabupaten Blora,3.67,2024
3317 Kabupaten Rembang,2.84,2024
3318 Kabupaten Pati,3.87,2024
3319 Kabupaten Kudus,3.19,2024
3320 Kabupaten Jepara,3.34,2024
3321 Kabupaten Demak,4.75,2024
3322 Kabupaten Semarang,3.73,2024
3323 Kabupaten Temanggung,2.35,2024
3324 Kabupaten Kendal,5.01,2024
3325 Kabupaten Batang,5.67,2024
3326 Kabupaten Pekalongan,3.3,2024
3327 Kabupaten Pemalang,6.63,2024
3328 Kabupaten Tegal,7.53,2024
3329 Kabupaten Brebes,8.35,2024
3371 Kota Magelang,4.4,2024
3372 Kota Surakarta,4.61,2024
3373 Kota Salatiga,3.86,2024
3374 Kota Semarang,5.82,2024
3375 Kota Pekalongan,4.91,2024
3376 Kota Tegal,5.88,2024
